Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
CASCADES HEALTHCARE,117,19,3,1,3,6,31.6,73.7,0,26.3,2.1,1.7,2.1,4.4,3.5,3,0.7,61.6,46.4,0.8,87,4.6,1915455.71,100813.46,14,0.7,19.2,7.5,1.9,2.4,74.1,70.8,76.7,1.17,1.26,18.6,3.2,7.1,1,0.7,10.9,11.4,93.6,91.3,0,42.4,5.1,13.3,21.4,10,50.1,35.9
CASCADIA HEALTHCARE,118,45,6,1,2,6,13.3,93.3,6.7,0,3.1,2.8,2.7,4.3,3.7,3.1,0.8,56.9,47.1,0.8,127,2.8,1880734.6,41794.1,6,0.1,15.7,13.6,0.9,1.3,77.9,77.6,83.4,0.83,1.42,15.8,3.1,6.2,1.8,1.4,18.3,13.9,94.1,95.8,0,45.2,5.2,11.2,14.1,9.8,31.6,14.6
CASSENA CARE,119,14,2,0,0,1,7.1,100,0,0,3.2,3.3,2.6,3.6,3.4,3,1,39.9,47,0.9,6,0.4,263927.77,18851.98,1,0.1,22.8,10.5,1.4,0.9,91,85.2,84.3,1.89,1.5,10.2,2.2,9.5,1.5,0.5,10.2,14.1,95.8,95.1,0,69.9,7.4,32.2,9.6,10,26.8,6
CASSIA,120,16,4,0,0,0,0,0,100,0,4.3,3.5,4.4,4.6,4.6,4,1.2,44.7,37.8,0.3,13,0.8,277323.05,17332.69,2,0.1,19.7,10.1,1.1,2.1,85.6,90.8,93.5,1.32,1.25,12,3.3,5.9,2.7,0.5,11.7,10.5,98,96.7,0,56.1,2,5.4,10.7,9.7,47.8,11.6
CASTLE HEALTHCARE,121,7,1,0,0,0,0,71.4,28.6,0,2.6,2.3,1.3,4.7,3.4,3,0.4,51.5,49.7,0.7,17,2.4,487213.08,69601.87,2,0.3,18.6,9.8,1.1,2.8,99.8,62.7,65.7,1.23,1.6,16.4,2.5,5.8,0.5,0.3,5.9,7.6,94.7,86,0,43.6,6.3,40,24.2,10.8,49.7,13.2
CATHOLIC CHARITIES NEW HAMPSHIRE,122,6,1,0,0,0,0,0,100,0,3.7,3.3,3.3,3.7,4,3.5,0.7,55.3,44.2,0.2,3,0.5,4557.8,759.63,0,0,21.4,11.3,0.6,1.7,85.1,81.9,80.2,1.79,1.91,2.9,6.6,3.9,3.6,1.7,17.7,16.3,97,92.9,0,49.9,9.9,0.7,13.5,9.6,66.2,26.6
CAVALIER HEALTHCARE,691,2,2,0,0,0,0,100,0,0,2.5,2.5,2,4,3,2.5,0.4,37.3,80,0,11,5.5,77288.78,38644.39,0,0,17.8,10.3,0.5,2.3,85.4,81.6,88.2,1.91,1.67,5,2.8,7.1,3.6,0.9,4.8,6.8,96.4,92.9,0,40,5.7,0,19.6,9.3,0,0
CCH HEALTHCARE,124,30,2,0,0,3,10,100,0,0,2,2.1,2,3.4,3.6,3,0.6,62.3,55.7,0.6,81,2.7,2783629.09,92787.64,15,0.5,22.7,13.2,1.5,3.7,79.3,60.6,63.1,1.77,1.82,10.9,3.1,10.4,1.2,0.2,14.4,14.1,89.3,78.5,0,43.5,9.9,15.4,25.2,10.5,22.8,13.7
CELEBRATE SENIOR LIVING,647,3,2,0,0,0,0,33.3,66.7,0,3.3,4,2,3,3.4,3,0.6,48.9,42.8,1,2,0.7,40701.75,13567.25,0,0,21.6,10.4,0.8,2.1,63.2,63.8,85.1,1.89,1.14,16.8,2,7.3,2.9,0.3,20.6,18.2,97.2,92.6,0,63.3,8.2,32.4,16.1,11.9,69.8,23.3
CENTENNIAL COLORADO HOLDCO,592,7,1,0,0,0,0,100,0,0,3,2.6,2.1,4.3,3.4,3.1,0.6,41.8,52,0.6,8,1.1,103580.1,14797.16,0,0,15.1,13.5,0.7,2.1,79.9,84.4,84,1.03,2.42,17.8,3.7,3,1.7,0.5,8,10.9,98.8,93.2,1.3,32.6,4.7,7.4,18.1,11,40.7,6.2
CENTER MANAGEMENT GROUP,619,15,4,1,0,0,0,100,0,0,3.1,2.9,2.1,4.2,3.5,3,0.5,45.3,31.5,0.2,28,1.9,524481.39,34965.43,2,0.1,24.4,9.9,1.4,2.1,81.7,65.8,63.9,1.8,1.42,8.7,2.8,9.1,1.3,0.8,9.2,11.3,93.5,87.3,0,60.9,6.1,26.9,17.1,10.8,20.6,16.4
CENTERS FOR AGING AND REHABILITATION OF FLORIDA,126,8,1,0,1,1,12.5,62.5,37.5,0,2,2.1,1.4,3.9,3.2,2.9,0.4,,,1.3,10,1.3,474507.62,59313.45,0,0,22.9,6,2.7,2.2,74.8,79.4,84.2,1.87,1.18,19.3,3.1,6.1,2,0.8,5.4,13.9,97,98.8,0,32.3,8.9,1.6,29.1,10.1,51.8,40.3
CENTERS HEALTH CARE,127,36,3,0,1,0,0,100,0,0,2.1,1.8,2.2,3.9,3.5,3,0.5,54.5,46.9,1,41,1.1,835758.27,23215.51,3,0.1,20,11.2,1.1,2.7,81.3,79.7,80.4,1.64,1.7,12.7,2.7,9,1,0.4,12.8,14.6,95.8,94.2,0,51.9,5,27.1,13.1,10.1,8.3,1.4
CENTRAL ARKANSAS NURSING CENTERS,129,38,2,0,0,0,0,100,0,0,3.5,3.2,3,4,4.4,3.8,0.3,51.4,43.8,0.3,21,0.6,315574.63,8304.6,2,0.1,23.1,12.4,0.9,3.2,76.6,75.5,85.9,1.62,1.23,6.8,3.8,6.3,1.6,1,10.1,10,94.3,96,0.1,47.2,4.6,0.9,24.4,10.7,19.6,11
CENTRAL MANAGEMENT COMPANY,130,22,1,0,0,5,22.7,100,0,0,2.6,3.1,2.3,2,3.6,3,0.3,42.3,29.8,0.3,56,2.5,280722.29,12760.1,1,0,23.3,12.5,3.9,2.8,65.5,85.6,91,2.29,2.42,15.1,3.8,7,4,1.7,10.2,19.5,98.7,98,0,32.8,4.2,1.7,27.4,10.7,31.7,7.4
CENTURY CARE MANAGEMENT,131,7,1,0,0,0,0,100,0,0,4.1,4.4,3.3,2,4.2,3.6,0.5,40.5,33.6,0.1,3,0.4,11134.98,1590.71,0,0,23.2,9.8,1.4,3.7,69,88,87.4,2.05,1.81,15.1,3.5,11.5,5.3,1.4,28.4,17.1,97,94.2,0.2,59.6,9.5,5.9,18.4,10.4,24.1,8
CENTURY HEALTHCARE,638,9,1,0,1,2,22.2,100,0,0,1.8,1.6,2.5,3.4,3.3,3,0.5,57.8,58.2,1.3,14,1.6,597711.8,66412.42,4,0.4,21.6,10.4,2.2,2.1,71.6,73.8,76.4,1.23,1.24,18.2,3.1,7.6,0.7,1,16.7,12.5,96.1,93,0.1,53.2,5.8,1.3,18.1,9.7,37.1,11.5
CERTUS HEALTHCARE,132,11,1,0,2,1,9.1,100,0,0,1.1,1.2,1.4,3.5,3.2,2.8,0.4,53.7,64.2,2.3,32,2.9,939555.87,85414.17,8,0.7,25.1,17.3,2.4,1.5,75.2,67.3,63.6,1.68,1.86,14,3.4,5.9,0.5,0.3,9.8,13.5,93.8,88.8,0,44.2,9.3,16.5,32.3,9.9,19.3,5.4
CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,133,7,1,0,0,1,14.3,57.1,0,42.9,2.4,3,1.9,2.9,3.5,3.1,0.3,60.8,67.2,0.4,31,4.4,211447.62,30206.8,0,0,22.9,12.7,1,2,68.3,80.1,89.3,2.23,1.78,11.6,4.2,9.2,2,1.2,16.3,14.1,97.3,99,0,59.4,6.9,1.6,24.4,11,26.2,2.6
CHAMPION CARE,134,16,3,0,3,4,25,93.8,6.3,0,1.7,1.8,1.5,3.3,3.6,3.2,0.6,65.7,62.1,0.9,45,2.8,2345362.77,146585.17,14,0.9,22.2,16.8,1.4,4,81.1,41.1,58.6,1.64,1.84,16.3,4,10,1.4,0.7,12,10.8,81,80.7,0.2,36.2,6.4,21.3,21.3,10.3,44.5,2.3
CHANCELLOR HEALTHCARE,135,2,2,0,0,0,0,100,0,0,3,3.5,2.5,3.5,4,3.6,0.4,57.8,33.3,0,5,2.5,7872.42,3936.21,0,0,13,23.7,0,2.7,63.9,58.4,94.2,2.46,3.09,7.7,3.8,9.7,0.8,2,12.1,11.9,97.4,94.1,0,15.8,7.6,0.6,10.4,8.8,51.8,5.6
CHARIS TRUST DTD 12/22/16,136,10,1,0,0,1,10,100,0,0,2.8,2.2,3,4.6,4.1,3.7,0.4,33.9,40.8,0.9,20,2,395070.44,39507.04,0,0,22.7,13.7,0.8,0.4,75,98.5,98.7,1.62,0.98,5.8,1.7,6.1,0.3,1.4,6,3.5,99.8,99.9,0,27.9,4.4,3.6,13.4,10.5,37.3,9.2
CHARLESTON HEALTHCARE GROUP,137,5,2,0,0,0,0,80,0,20,3.4,3.2,2,3.8,2.9,2.5,0.4,40.7,35.4,0.4,7,1.4,152696.75,30539.35,3,0.6,17,10.1,6.9,1.4,77.1,89.5,92,1.55,2.29,7.1,2.8,4.7,0.4,1.5,15,20.4,99.9,99.3,0,50.2,4.6,2,28.8,10,4.4,1.3
CHELSEA JEWISH LIFECARE,138,5,1,0,0,0,0,0,100,0,4.6,3.6,3.4,5,4.7,4.4,0.7,37,35,0.6,3,0.6,37763.3,7552.66,1,0.2,19.5,6.4,0.6,1.1,88.6,92.6,98,1.34,0.73,16,4.8,6.9,0.7,0.6,11.3,7.2,99.2,96.9,0,55.3,4.9,11.4,17,10.1,3,13.1
CHEYENNE SHERIDAN OPCO HOLDINGS,625,3,2,1,0,1,33.3,100,0,0,2.5,3,1.5,3.5,3.4,2.9,0.7,64.5,47.6,0,8,2.7,118631,39543.67,1,0.3,19.1,17.2,1.8,2.1,87.4,69.3,73.9,1.16,1.68,21.9,3,4.2,1.7,0.5,8.8,13.1,97.2,93.4,0,49.4,4.3,17.7,9.2,10.9,30.6,0.3
CHI LIVING COMMUNITIES,139,11,6,0,0,1,9.1,18.2,81.8,0,2.5,2.5,2,3.8,4.4,3.9,1,53.5,55.9,1,16,1.5,512264.95,46569.54,5,0.5,20.1,14.6,1.3,3.1,84,64.9,74.3,1.61,1.68,13.3,3.3,8.2,1.7,1.1,13.6,12.1,91.1,93.4,0.7,47.1,4.6,17.4,22.4,10.3,33.2,3.4
CHOICE HEALTH MANAGEMENT,140,15,2,1,0,4,26.7,100,0,0,1.7,1.9,1.8,2.1,3.3,2.9,0.3,53.9,44.5,0.7,32,2.1,1105381.79,73692.12,6,0.4,23.7,13,2.1,3.4,63.9,66.9,73.5,1.76,1.72,13,3.4,10,1.3,0.3,32.2,25.7,87.6,86.2,0,50.9,8.9,5.3,21.5,10.6,32.4,11.1
CHOICE HEALTHCARE,588,6,1,0,1,0,0,100,0,0,1.7,2.2,1,2.7,2.8,2.4,0.4,64.4,74.3,1.6,26,4.3,724110.58,120685.1,1,0.2,22,14,1.8,2.5,77.2,35.5,29.2,1.55,1.57,13.1,4.1,10.4,2.5,0.4,19.9,22,85.9,58.2,0,45.7,6.9,23.5,27.1,10.3,18.7,2.9
CHOSEN HEALTHCARE,141,7,2,0,1,3,42.9,57.1,14.3,28.6,2,1.7,2,3,3.5,3.1,0.5,43.5,40,1,15,2.1,573526.24,81932.32,4,0.6,25.5,14.8,2.6,1.9,56.9,58.1,79.9,1.87,1.83,20,3.4,8.8,0.9,1.2,17.7,16.4,96.8,87.7,0.2,47.2,5.4,3.7,33,10,40.5,0.4
CHRISTIAN CARE COMMUNITIES,142,5,1,0,0,0,0,0,100,0,3.8,3.6,3.6,3.6,4.3,3.7,0.8,56.9,48.2,0.2,3,0.6,4900.05,980.01,0,0,16.3,18.1,0.4,4.2,80.4,83.1,77.7,1.3,2.15,10,6.3,6.3,7.3,1.1,16.6,15.9,93,92.9,0,46.1,7.9,1.7,31.4,11.2,49.1,6.8
CHRISTIAN HORIZONS,143,5,3,0,0,1,20,0,100,0,2.4,2.8,2.4,3.4,4,3.5,0.7,63.6,54,1.2,8,1.6,304815.75,60963.15,4,0.8,20.5,14.7,1.9,5,69.3,90.6,87.8,1.02,1.18,14.1,3.5,9.2,1.6,1.6,16.6,11.5,98.4,96.6,0.1,66.1,7.4,1.4,12.1,9.5,16.3,6.1
CIENA HEALTHCARE/LAUREL HEALTH CARE,144,81,5,0,1,11,13.6,100,0,0,2.7,2.6,2.9,3.6,3.5,3.1,0.6,45.8,43.9,0.5,132,1.6,5392845,66578.33,44,0.5,23.3,10.3,1.4,3.6,77.1,74.3,81.3,1.64,1.31,14.1,3.1,9.8,1.3,0.8,15.1,14.7,91,96,0.1,49.4,7.1,4.2,21.1,10.6,23.6,4.6
CIRCLE B ENTERPRISES,145,29,2,0,0,4,13.8,100,0,0,2.4,2.9,2.2,2.6,3.3,2.8,0.5,60.9,51.8,0.8,15,0.5,271181.36,9351.08,4,0.1,22.8,14,1.6,3.5,74.4,60.7,69.5,1.76,1.98,22.1,3.7,10,2.1,1.8,17.4,19.6,92.8,91.4,0.1,32,4.3,8.5,27.8,11,25.1,6
CITADEL CARE CENTERS,146,16,2,0,0,0,0,100,0,0,2.8,2.3,2.6,4.4,3.4,3,0.6,42.4,47.6,1.4,17,1.1,104492.26,6530.77,0,0,22.2,8.9,1.6,2.3,85.8,75.1,70.1,1.72,1.01,7.8,1.8,10.7,0.5,0.6,12.7,12.1,96.7,83.7,0,55.9,6.8,4.8,15.3,10.9,35.2,28.9
CITADEL HEALTHCARE,147,11,1,0,0,2,18.2,100,0,0,2.7,3.1,1.6,3.1,3,2.6,0.6,40.8,33.9,0.4,29,2.6,597609.63,54328.15,4,0.4,26.1,12,2,1.5,77.1,82.4,76.3,1.85,1.59,27.3,3.1,6.4,0.1,0.7,11.6,9.3,98,94.3,0,40.1,8.9,75.9,16.7,9.8,42.5,22.5
CITIZENS MEMORIAL HEALTH CARE,148,6,1,0,0,0,0,0,100,0,3.8,4.3,1.7,3.3,3.1,2.8,0.4,56.9,46,0.5,3,0.5,30483.64,5080.61,0,0,19.3,13.7,1.1,0.9,73.8,91.7,94.3,1.67,1.91,13.8,4.4,6.2,2.6,0.2,15.6,17.7,99.6,99.3,0.1,33.7,2.6,2.9,18.8,10.3,13,12.7
CIVITA CARE CENTERS,683,6,1,0,0,0,0,100,0,0,1.8,2.2,3.3,2,3.2,2.8,0.6,36.8,29,0.2,10,1.7,120731.6,20121.93,0,0,27.2,10.8,1.2,1.2,70.9,61.2,55.6,2.47,1.91,19.8,3.5,7,4,1.8,26.3,21.1,87.3,81.7,0,31.6,7.4,2.6,14.7,11.1,30.6,9.4
CLEAR CHOICE HEALTHCARE,149,9,2,0,0,0,0,100,0,0,4.3,3.9,3.7,4.3,4.1,3.5,0.6,49,43.9,0.9,6,0.7,26257.3,2917.48,0,0,24.2,9.8,1.5,1.5,87.9,96.8,98.5,1.73,1.05,8,2.8,7.3,1.8,0.8,9.7,9.8,99.3,99.6,0,56.3,5.2,0.7,22.8,11.8,21.5,9.9
COLEV GESTETNER,689,7,3,0,0,0,0,100,0,0,3.4,3.3,2.7,3.3,3.5,3.1,0.5,53.4,50,0.5,8,1.1,126809.21,18115.6,0,0,23.7,9.6,1,2.9,77.8,68.8,63.5,1.95,1.52,12.2,2.6,8.3,0.5,0.6,12.4,13.9,95.4,87.6,0,63.2,7.2,21.6,13.5,10.6,29.2,4.7
COMMCARE CORPORATION,150,13,1,0,0,0,0,0,100,0,2.8,2.8,2.9,2.8,4.1,3.4,0.3,45.9,33.6,0.7,21,1.6,802379.72,61721.52,4,0.3,25,13.4,2.9,3.6,82.3,81.5,93.7,2.32,2.17,11,3.2,10.4,1.4,0.8,16.2,16.2,95.3,96.2,0,38.8,4.9,0.7,21.9,10.7,32.5,5.5
COMMONSPIRIT HEALTH,151,6,6,0,0,0,0,0,100,0,3.8,3,4.2,4,5.7,5.1,1.9,50.3,44.6,0.5,21,3.5,75074.92,12512.49,1,0.2,18.5,9.8,1.5,2,71.3,72.1,81.1,1.38,1.38,12.5,3,7,0.7,1.7,18.3,16.9,95.8,92.4,0,39.7,7.5,7.3,15.6,10.3,40.7,3.6
COMMONWEALTH CARE OF ROANOKE,152,12,1,0,0,1,8.3,100,0,0,2.9,3.2,2.1,3.3,3.4,3.1,0.5,43,47.3,0.5,7,0.6,121086.55,10090.55,0,0,23.1,11.4,1.4,1.5,75.4,90.4,91.2,1.59,1.39,12.1,4.2,7.5,2.3,0.6,21.2,16.7,99.1,98.5,0.1,58.6,8.4,2.5,20.1,10.8,46.9,3
COMMUNICARE HEALTH,153,119,7,2,10,17,14.3,94.1,4.2,1.7,2.1,2.1,1.8,3.6,3.3,2.9,0.5,51.7,51.9,0.8,175,1.5,6543903.5,54990.79,38,0.3,22.6,12.9,1.5,2.7,82.5,66.8,67.3,1.47,1.63,10.8,3.4,8,1.2,0.4,14.1,16.3,92.4,89.3,0,50.4,6.4,24.7,23.4,10.6,34.6,1.6
COMMUNITY CARE CENTERS,154,13,2,0,0,3,23.1,100,0,0,2.2,2.6,1.7,2.5,3,2.7,0.3,55.4,47.9,0.8,49,3.8,692504.48,53269.58,7,0.5,22.5,12.8,2.2,0.6,61.4,64.6,80.7,2.14,2.57,18.6,5.2,8.2,1.9,1.5,14.3,14.5,93,90.6,0.3,24.2,4.1,6.6,25.3,11.1,27.4,6.7
COMMUNITY ELDERCARE SERVICES,155,17,2,1,1,3,17.6,100,0,0,1.7,1.9,2.4,1.8,3.6,3.1,0.5,52.1,63.5,2.3,23,1.4,701755.04,41279.71,2,0.1,33.2,15.7,2.4,3,61.4,70.1,82.7,1.97,2.6,25.9,4.1,9.8,2.1,1.5,20.2,19.7,89.6,93.1,0,48,7.4,1.7,28.2,12.8,27.2,11.8
"COMPASS HEALTH, INC.",156,7,1,0,0,0,0,100,0,0,5,4.9,3.6,5,5.2,4.7,0.6,37.8,46.6,0.8,2,0.3,1307.8,186.83,0,0,18.1,12.6,1.1,0.7,87,99.9,100,1.21,1.21,19.2,2.5,1.3,0.5,0.1,7.3,1.4,100,100,0,4.3,3.7,0.9,29.3,9.2,45,50.1
COMPLETE CARE,157,78,7,0,2,4,5.1,97.4,2.6,0,2.9,2.4,2.8,4.4,3.8,3.3,0.7,48.7,48.4,0.6,112,1.4,3108290.4,39849.88,10,0.1,22.1,9.4,1.1,2.4,84.8,75.8,77.9,1.64,1.3,10.2,2.5,9,1.1,0.5,13.1,11.5,96.1,92.4,0,48.4,6.9,13.5,17.3,10.9,29.8,10.2
CONCORDIA LUTHERAN MINISTRIES,573,8,3,0,0,1,12.5,0,100,0,2.9,2.9,3.4,3.8,4.1,3.6,0.9,52.8,52.3,0.3,12,1.5,138165.74,17270.72,0,0,26.5,9.1,1.2,2.4,70.2,78.7,87.1,1.99,1.38,12.3,2.9,12.5,1.3,2.3,18.4,17.1,88.9,89.9,0,70.3,6.6,6.6,15.1,11.1,5,0.4
CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,158,56,6,0,4,8,14.3,100,0,0,2,2.1,2,3,3.1,2.7,0.5,50.8,52.4,1.1,114,2,2207343.29,39416.84,8,0.1,19.8,11.8,1.8,3.8,73.3,77.7,76.8,1.56,1.65,15.4,3.8,9.3,1.1,0.9,20.1,17.6,93,88.2,0,43,7,2.8,24.1,10.5,30,15.1
CONTINUING HEALTHCARE SOLUTIONS,159,12,1,0,2,3,25,100,0,0,2.8,2.4,2,4.2,3.1,2.8,0.5,48.2,43.5,0.8,19,1.6,496297.11,41358.09,4,0.3,24,13.1,1.6,1.5,71.5,64.9,71.2,1.29,1.73,10.9,4.3,6.5,0.4,0.2,8,9.1,86.2,81.3,0,40.8,8.5,22.4,31.7,10.3,29.9,11.6
CONTINUING LIFE,160,6,1,0,0,0,0,100,0,0,5,4.3,4.7,5,5.2,4.7,0.8,32.7,36.2,0.2,10,1.7,41898.1,6983.02,0,0,21.3,8.7,1.5,2,85.2,94.2,98.1,1.13,0.78,9.5,4.1,6.2,1.1,1.7,11.7,9.3,99.6,99.9,0,69.9,3.8,1.6,11,9.2,47.1,12.1
CONTINUUM HEALTHCARE,161,7,3,0,0,0,0,100,0,0,2,1.4,3.4,3.7,3.9,3.4,0.7,51.1,47.7,1,22,3.1,293044.43,41863.49,2,0.3,21.4,8.4,1.6,1.7,85.7,60.8,62.4,1.58,1.22,16.4,2.9,7.1,1,1.4,12.3,10.7,95,89.6,0,53.5,4.8,11.5,23,10.6,19.9,26.6
CORNERSTONE GROUP HOLDINGS,162,7,1,0,2,3,42.9,100,0,0,1.1,1.4,1.6,1.9,2.8,2.4,0.5,,,,8,1.1,240989.59,34427.08,2,0.3,23.3,10.8,6.8,0.7,76.9,76.7,75.6,2.02,2.31,27,2.7,9.1,2.8,1.2,21.3,23.8,98.6,98.3,0,29.7,5,4.8,28.6,10.1,33,1.8
CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,163,11,1,0,0,0,0,45.5,0,54.5,2.3,2.1,1.9,3.4,3.3,3,0.3,49,44.5,1.1,31,2.8,883831.98,80348.36,4,0.4,20.8,11.8,2.4,3.2,63.4,87.4,88.6,1.73,1.97,10.8,3.9,6.1,0.7,0.8,14,16.3,98.3,98.1,0,43.6,4.3,3.3,25.1,10.7,13.6,2.6
COUNTRY CLUB REHABILITATION CAMPUS,164,6,1,0,0,0,0,100,0,0,3,2.7,2.2,4.2,3.2,2.9,0.6,46.3,34.3,0,6,1,226903.21,37817.2,2,0.3,23.2,14,0.5,5.8,83.9,69.2,70.1,1.62,2.18,6.5,5.7,11.3,0,0,3.9,7.6,94,90,0,60.1,4.3,8.8,21.7,11.9,14.3,1.4
COUNTRY VILLA HEALTH SERVICES,165,8,1,0,1,2,25,100,0,0,2.4,1.9,2.3,4.3,4.1,3.8,0.4,40.7,53.8,0.9,23,2.9,166867.41,20858.43,3,0.4,22.4,9.5,3.2,0.6,83.2,96.3,99.5,2.55,1.31,17.6,0.9,6.4,1.1,0.2,8.8,6.1,99.1,99.8,0,22.6,4.7,16.8,14.5,10.8,44,14.4
COVENANT CARE,166,25,2,0,1,2,8,100,0,0,3.7,2.8,3.2,4.9,4,3.6,0.6,44.7,53.6,0.9,36,1.4,502462.67,20098.51,3,0.1,22.8,12.3,0.8,1.2,90.2,96.6,98,1.72,1.51,8.3,1.7,6,0.6,0.3,7.7,5.4,98.5,99.8,0,41.1,4.5,4.5,12,10.7,41.1,19.4
COVENANT HEALTH,167,11,5,0,0,0,0,0,100,0,3.2,2.9,3.9,3.5,4.2,3.7,1.1,43.2,42.5,0.4,37,3.4,731974.01,66543.09,3,0.3,20.9,11.2,1.3,2.8,72.6,72.8,71.4,1.46,1.62,17.5,3.5,6.3,1.8,1.8,22.3,15.3,96.5,88,0,63.3,6.2,1.9,20.1,10.1,42.3,6.7
COVENANT LIVING,168,15,10,0,0,0,0,0,100,0,3.9,3.7,3.9,4,4.2,3.8,0.9,42.9,41.6,0.4,18,1.2,365826.01,24388.4,0,0,22.3,11.3,1.3,1.8,76.7,91,92.3,1.74,0.95,12.3,3.1,8.1,5.7,1.4,17.1,12.5,97.2,97.7,0,67.2,6.2,3.1,16.1,10.4,33.4,13.7
CREATIVE SOLUTIONS IN HEALTHCARE,169,123,1,0,4,10,8.1,83.7,0.8,15.4,2.6,2.7,1.7,3.5,3.1,2.7,0.4,53.2,52.9,1,232,1.9,6385565.66,51915.17,23,0.2,22.9,13.3,1.8,2.7,67.8,84.7,92.4,1.85,2.01,9.9,3.9,6.3,0.7,0.7,6.4,15.5,98,99.1,0,51.7,4.5,6,24.1,10.7,3.7,0.1
CREST HEALTHCARE CONSULTING,170,13,1,0,0,5,38.5,100,0,0,1.7,2.4,1.1,3.4,3.1,2.6,0.5,51.9,54.2,0.5,29,2.2,834333.43,64179.49,7,0.5,23.1,17.7,2.3,2.7,85.1,59.7,55,1.65,2.57,16,3.2,6.9,1.2,0.5,8.4,8.1,90.9,76.6,0.1,44.4,8.2,66.9,21,10.9,28.9,1.8
CROSSROADS CARE CENTER,171,13,2,0,0,1,7.7,100,0,0,1.7,1.9,1.8,3.2,3.4,2.9,0.6,49.7,43.2,0.5,37,2.8,1055690.76,81206.98,5,0.4,22.9,17.7,1,3.4,75.7,61.3,77.3,1.37,1.74,16.1,2.4,11.5,2,1.5,14.3,9.2,86.2,91,0.1,36.6,6.9,19,15.7,10.4,33.3,5.5
CROSSROADS MEDICAL MANAGEMENT,172,6,1,0,0,0,0,100,0,0,3.2,3.3,3.8,2,3.8,3.2,0.6,45.5,28.8,0,8,1.3,50255.6,8375.93,0,0,25.8,16.4,1.6,3.2,82.4,91.6,96.2,1.97,2.09,12.7,5.5,8.7,3.1,1.3,16.1,20.3,99.6,99.8,0,41.3,5.6,1.7,26.3,11.2,30.3,3.2
CROWN HEALTHCARE GROUP,173,9,1,0,0,0,0,100,0,0,2,2.7,1,4.1,3,2.8,0.3,53.9,50.7,0.4,19,2.1,389846.54,43316.28,2,0.2,23.4,11.7,1.8,1.8,90.4,65,63.6,1.8,1.93,13.1,2.8,9.3,0.1,0.4,6.2,6.7,87.3,82.1,0,44.8,10.3,41,22.5,10.8,15.3,1.5
CROWNE HEALTH CARE,174,18,1,0,0,0,0,94.4,5.6,0,4,3.8,4.1,2.7,4.3,3.5,0.6,42.5,33.4,0.1,3,0.2,18649.78,1036.1,0,0,22.9,16.6,2.1,3.9,71,81,83.2,1.5,1.89,20.8,3.2,7.8,4.9,2,14,11.2,96.2,96.5,0.1,54.6,6.1,0.7,20,10,30.5,5.6
CYPRESS HEALTHCARE GROUP,175,10,1,0,0,0,0,80,20,0,3.5,3.3,2.5,4.1,4.2,3.7,0.5,47.1,30.6,2.5,13,1.3,54706.7,5470.67,0,0,26.7,14.8,0.7,1,81.2,97.3,99.2,1.68,1.1,6.7,1.8,6.9,1,0.8,16.7,9.4,98.1,99.7,0,43.7,5.4,1.8,6.1,10.6,27.3,8.7
